City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
221,Zhigansk,RU,66.7697,123.3711,-18.04,96,100,8.34,overcast clouds
222,Hamilton,US,39.1834,-84.5333,28.67,78,0,1.01,clear sky
223,Pangody,RU,65.85,74.4859,14.49,95,100,7.54,light snow
224,Mackenzie,CA,55.2999,-123.1698,22.93,90,44,2.89,scattered clouds
225,La Ronge,CA,55.1001,-105.2842,21.78,91,100,11.43,overcast clouds
226,Hienghene,NC,-20.6833,164.9333,79.83,69,100,3.78,overcast clouds
227,Popondetta,PG,-8.7537,148.2534,87.49,63,42,4.27,scattered clouds
228,Gorontalo,ID,0.5412,123.0595,86.94,71,94,2.64,overcast clouds
229,Black River,JM,18.0264,-77.8487,79.99,88,83,5.68,broken clouds
230,Zarubino,RU,42.63,131.0922,25.41,50,70,28.57,broken clouds
231,Ismailia,EG,30.6043,32.2723,61.54,81,1,2.64,clear sky
232,Tunceli,TR,39.1083,39.5471,32.29,76,5,3.0,clear sky
233,Richards Bay,ZA,-28.783,32.0377,69.06,89,100,11.41,light rain
234,Bagn,NO,60.8225,9.5521,27.46,94,93,4.34,overcast clouds
235,Antalaha,MG,-14.9003,50.2788,77.72,74,94,3.22,light rain
236,Shikhany,RU,52.1167,47.2167,18.09,89,100,4.21,overcast clouds
237,Rio Grande,BR,-32.035,-52.0986,68.22,82,38,18.28,scattered clouds
238,Upata,VE,8.0086,-62.3989,74.19,98,89,2.91,overcast clouds
239,Fairbanks,US,64.8378,-147.7164,1.6,69,90,1.99,light snow
240,Padang,ID,-0.9492,100.3543,86.05,65,100,5.86,overcast clouds
241,Bourail,NC,-21.5667,165.4833,80.02,70,100,9.78,overcast clouds
242,Ponta Do Sol,PT,32.6667,-17.1,67.71,70,94,6.42,overcast clouds
243,Akyab,MM,20.15,92.9,83.34,57,24,2.28,few clouds
244,Luanda,AO,-8.8368,13.2343,78.8,83,40,4.61,scattered clouds
245,Teknaf,BD,20.8624,92.3058,84.34,41,9,2.39,clear sky
246,Kildinstroy,RU,68.8049,33.1,16.11,92,40,4.47,scattered clouds
247,Nizhneudinsk,RU,54.9076,99.0276,33.58,58,100,2.62,overcast clouds
248,Bambous Virieux,MU,-20.3428,57.7575,82.22,66,15,8.39,few clouds
249,Margate,GB,51.3813,1.3862,43.3,88,81,14.7,broken clouds
250,Chiredzi,ZW,-21.05,31.6667,71.64,88,100,5.91,overcast clouds
251,Woodland,US,38.6785,-121.7733,55.83,89,1,0.0,clear sky
252,Srednekolymsk,RU,67.45,153.6833,-30.19,99,63,4.81,broken clouds
253,Wagar,SD,16.1525,36.2032,73.02,71,32,10.76,scattered clouds
254,Sibolga,ID,1.7427,98.7792,85.44,64,100,5.97,overcast clouds
255,Thompson,CA,55.7435,-97.8558,5.29,81,100,7.78,overcast clouds
256,Jalu,LY,29.0331,21.5482,60.04,49,100,9.62,overcast clouds
257,Bubaque,GW,11.2833,-15.8333,82.06,77,5,6.62,clear sky
258,Anqing,CN,30.5092,117.0506,52.41,21,38,2.68,scattered clouds
259,Camabatela,AO,-8.1881,15.375,62.91,89,100,0.94,overcast clouds
260,Zonguldak,TR,41.25,31.8333,43.7,68,46,5.55,scattered clouds
